"Source","Owner","Company Name","City","information","Email","Website","Address","Work Phone","Mobile"
"Julieth Ortega","Julieth Ortega","A & g comercializadora
                            ","Bogotá
                                            ","Ceniceros de piso, Dispensadores de jabón, Dispensadores de papel higiénico
                                            ","gerencia@aygcomercializadora.com  
              "," www.aygcomercializadora.com  
                            ","Cr 34 4-03 P 1  
                                     ","2014276  
    ",
"Julieth Ortega","Julieth Ortega","A & r comunicaciones
                            ","Cali
                                            ","Citofonía
                                            ","alonsoreyes4528@hotmail.com  
                   ",,"Cl 23 40-12 Barrio Guabal  
                          ","3242570  
    ","3364004  
    "
"Julieth Ortega","Julieth Ortega","A & s - accecomputo & servicios ltda.
             ","Bogotá
                                            ","Suministros para impresoras
                                            ","accecomputo@etb.net.co - rgarzon@etb.net.co  
   "," www.accecomputo.com  
                                    ","Cr 9 15-21 Mz E  
                                    ","3365947  
    ",
"Julieth Ortega","Julieth Ortega","A abel equipos ltda.
                                ","Medellín
                                            ","Multifuncionales y fax
                                            ","abelequipos@yahoo.com  
                         ",,"Cr 35 41A-22 Barrio El Salvador  
                    ","2390679  
    ",
"Julieth Ortega","Julieth Ortega","A adomicilio servimantenimiento
                 ","Cali
                                            ","Mantenimiento de equipos de telefonía, Mantenimiento de fax
                                            ","aservimantenimiento@hotmail.com  
               ",,"Cr 4N 62N-135  
                                      ","6800528  
    ","6819118  
    "
"Julieth Ortega","Julieth Ortega","A aire acodicionado ingw
                        ","Cali
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","ingw@ingewonline.com  
                          "," www.ingewonline.com  
                                    ","Cl 16 1-60 Barrio San Nicolás Centro  
               ","8811515  
    ","8843634  
    "
"Julieth Ortega","Julieth Ortega","A aluminios y vidrios lema
                      ","Cali
                                            ","Aluminio arquitectónico
                                            ","vidrioslema@yahoo.es  
                          "," www.avlemalife.com  
                                     ","Cl 10 66-31  
                                        ","3394928  
    ",
"Julieth Ortega","Julieth Ortega","A axe
                                            ","Medellín
                                            ","Fotocopiadoras, Mantenimiento de máquinas y equipos de oficina, Máquinas y equipos de oficina
                                            ","aaxequip@une.net.co  
                           "," www.a.axe.com.co  
                                       ","Cl 44 80-47 Of 104  
                                 ","4163355  
    ",
"Julieth Ortega","Julieth Ortega","A b c finca raíz
                                    ","Medellín
                                            ","Inmobiliarias
                                            ","abcfincaraiz@une.net.co  
                       ",,"Cr 76 33A-71  
                                       ","2509883  
    ",
"Julieth Ortega","Julieth Ortega","A cohen
                                         ","Cali
                                            ","Vidrios
                                            ","vidriosacohen@hotmail.com  
                     "," www.vidriosacohen.com  
                                  ","Cr 32 9C-45  
                                        ","5144631  
    ","5144632  
    "
"Julieth Ortega","Julieth Ortega","A domicilio maxitel - bernardo montoya
              ","Medellín
                                            ","Plantas telefónicas
                                            ","maxitel@une.net.co  
                            ",,"Cl 81 71-25 Of 301  
                                 ","4377878  
    ",
"Julieth Ortega","Julieth Ortega","A extintores y resortes superior
                ","Cali
                                            ","Equipos contra incendio
                                            ","aexsuperior@hotmail.com  
                       ",,"Cr 16 16a-67  
                                       ","8832852  
    ",
"Julieth Ortega","Julieth Ortega","A sellar ltda.
                                    ","Bogotá
                                            ","Artículos y suministros de oficina, Relojes de control de personal, Relojes radicadores de correspondencia, Acabados arquitectónicos, Avisos, Carnés, Contadoras de billetes y monedas, Grabado láser, Identificación biométrica, Laminación, Protectores de cheques, Sellos
                                            ","asellar@asellar.com - pedidos@tussellos.com.co  
"," www.asellar.com - www.tussellos.com.co  
                 ","Cr 15 95-34 L 113 Barrio Chicó  
                     ","6914743  
    ","2365485  
    "
"Julieth Ortega","Julieth Ortega","A steckerl hierros y aceros s.a.
                        ","Barranquilla
                                            ","Medidores de agua y otros líquidos
                                            ","barranquilla@alfredosteckerl.com  
              "," www.alfredosteckerl.com  
                                ","Carretera La Cordialidad Km 3 Vía Galápa Costado Izquie","3671600  
    ",
"Julieth Ortega","Julieth Ortega","A su servicio rat tray
                               ","Manizales
                                            ","Artículos para aseo y cafetería
                                            ","rat-trayfumigaciones@hotmail.com  
              ",,"Cr 20 54-27 La Leonora  
                             ","8850016  
    ",
"Julieth Ortega","Julieth Ortega","A y a  fadipartes empresa e.u.
                    ","Bogotá
                                            ","Medidores de agua y otros líquidos
                                            ","fadipartes@etb.net.co  
                         "," www.fadipartes.com  
                                     ","Cr 68 3-80 P 2  
                                     ","4190599  
    ",
"Julieth Ortega","Julieth Ortega","A y b modulares s.a.
                                ","Sabaneta
                                            ","Cielo rasos
                                            ","secretaria@ayb.com.co  
                         "," www.ayb.com.co  
                                        
","Cr 48 61Sur-115 Sabaneta  
                           ","2887070  
    ",
"Julieth Ortega","Julieth Ortega","A y h consultoría ltda.
                           ","Bogotá
                                            ","Software administrativo, contable y financiero
                                            ","informacion@ayhconsultoria.com  
                "," www.ayhconsultoria.com  
                                 ","Cr 70F 127A-85  
                                     ","2533300  
    ",
"Julieth Ortega","Julieth Ortega","A y r universal ltda.
                             ","Bogotá
                                            ","Equipos contra incendio
                                            ","info@ayruniversalltda.com  
                     "," www.ayruniversalltda.com  
                               ","Cr 73A 69A-40  
                                      ","4366199  
    ",
"Julieth Ortega","Julieth Ortega","A&a asociados ltda.
                                 ","Medellín
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","ayaasociadosltda@gmail.com  
                    ",,"Cl 52 49-71 Of 605 Centro  
                          ","5116013  
    ",
"Julieth Ortega","Julieth Ortega","A&c cortinas y decoracion y cía. ltda.
              ","Medellín
                                            ","Decoración, Alfombras y tapetes
                                            ","ayccortinas@une.net.co  
                        ",,"Av 33 74B-160 Barrio Laureles  
                      ","4112311  
    ",
"Julieth Ortega","Julieth Ortega","A&co - auditoría, consultoría, outsourcing y asesor","Bogotá
                                            ","Asesorías y consultorías contables
                                            ","info@ayco-sas.com  
                             "," www.ayco-sas.com  
                                       ","Cl 100 19A-50 Of 603  
                               ","2578508  
    ","6222523  
    "
"Julieth Ortega","Julieth Ortega","A&ges consultoría s.a.
                               ","Cartagena
                                            ","Asesorías y consultorías en gestión empresarial
                                            ","also312@hotmail.com  
                           "," www.ayges.com  
                                        
","Edif 19 de Chambacú Of 619  
                         ","6641990  
    ","6641908  
    "
"Julieth Ortega","Julieth Ortega","A&m aluminios
                                   ","Buga
                                            ","Aluminio arquitectónico
                                            ","aymaluminios@gmail.com  
                        ",,"Cr 8 6-72  
                                        Co","2370881  
    ","2371144  
    "
"Julieth Ortega","Julieth Ortega","A&m logistics ltda.
                               ","Bogotá
                                            ","Transporte aéreo de carga
                                            ","info@aymlogistics.net  
                         "," www.aymlogistics.net  
                                   ","Cr 106 15-25 Mz 9 Bdg 18  
                           ","4395919  
    ","4396799  
    "
"Julieth Ortega","Julieth Ortega","A'hora s.a.
                                         ","Medellín
                                            ","Empleados temporales
                                            ","serviciostemporales@a-hora.com  
                ",,"Cl 52 47-42 Edif Coltejer P 9  
                      ","5753871  
    ","5753870  
    "
"Julieth Ortega","Julieth Ortega","A-sahertex ltda.
                                ","Cali
                                            ","Uniformes
                                            ","sahertexltda@hotmail.com  
                      ",,"Av Roosevelt 36-92  
                                 ","5571795  
    ",
"Julieth Ortega","Julieth Ortega","A-telco comunicaciones
                          ","Cali
                                            ","Telecomunicaciones
                                            ","ventas@telco.com.co  
                           "," www.telco.com.co  
                                       ","Av 5B Norte 22-37 Barrio Versalles  
                 ","6683991  
    ",
"Julieth Ortega","Julieth Ortega","A-z distribuidora papelera ltda.
                       ","Bucaramanga
                                            ","Artículos y suministros de oficina
                                            ","azpapeleria@hotmail.com  
                       ",,"Cl 45 28-68  
                                        ","6572885  
    ",
"Julieth Ortega","Julieth Ortega","A. escritorios y escritorios álvarez
            ","Cali
                                            ","Muebles para oficina
                                            ","escritorios@uniweb.net.co  
                     ",,"Av Roosevelt 24A-35  
                                ","6801898  
    ","5567214  
    "
"Julieth Ortega","Julieth Ortega","A. gyptec s.a. - hanetec s.a.
                     ","Bogotá
                                            ","Cielo rasos, Drywall
                                            ","mercadeo@gyptec.com  
                           "," www.gyptec.com - www.hanetec.com  
                       ","Cl 13 60-21 Puente Aranda  
                          ","4142099  
    ",
"Julieth Ortega","Julieth Ortega","A. hanetec s.a. - gyptec s.a.
                     ","Bogotá
                                            ","Cielo rasos
                                            ","mercadeo@gyptec.com  
                           "," www.hanetec.com - www.gyptec.com  
                       ","Cl 13 60-21 Puente Aranda  
                          ","4142099  
    ",
"Julieth Ortega","Julieth Ortega","A. panelrock colombia s.a.
                        ","Bogotá
                                            ","Cielo rasos, Drywall
                                            ","info@panelrockcolombia.com  
                    "," www.panelrockcolombia.com  
                              ","Cl 163A 21-68 Toberín  
                              ","7431771  
    ",
"Julieth Ortega","Julieth Ortega","A. texsa de colombia s.a.
                         ","Bogotá
                                            ","Impermeabilización, Impermeabilizantes, Materiales para la construcción, Pinturas
                                            ","servicioalcliente@texsa.com.co  
                "," www.texsa.com.co  
                                       ","Cl 87 10-93 Of 501  
                                 ","2363044  
    ",
"Julieth Ortega","Julieth Ortega","A.a. sara jaramillo bernal
                           ","Manizales
                                            ","Ropa de trabajo
                                            ","sarajaramillob20@hotmail.com  
                  ",,"Cr 27 68-14  
                                        ","3217467658  
 ","8870304  
    "
"Julieth Ortega","Julieth Ortega","A.a.a. convidrios de seguridad
                       ","Cartagena
                                            ","Divisiones para baño, Fachadas
                                            ","convidrios2007@hotmail.com  
                    ",,"Cl 49 16-15 Torices  
                                ","6662568  
    ","6666090  
    "
"Julieth Ortega","Julieth Ortega","A.b. industrias metálicas e.u.
                    ","Bogotá
                                            ","Carpintería metálica
                                            ","indumeteu@yahoo.es  
                            ",,"Cl 63 Sur 73D-30  
                                   ","4805947  
    ",
"Julieth Ortega","Julieth Ortega","A.d.h. papeles adhesivos s.a.
                       ","Medellín
                                            ","Papeles
                                            ","info@adh.com.co  
                               "," www.adh.com.co  
                                        
","Cr 52 29-37 L 105 Av Guayabal  
                      ","2652940  
    ",
"Julieth Ortega","Julieth Ortega","A.f. refrigeración s.a.s
                        ","Cali
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","administracion@afrefrigeracion.com.co  
         "," www.afrefrigeracion.com.co  
                             ","Cl 42N 4N-174  
                                      ","5248988  
    ","3154038438  
 "
"Julieth Ortega","Julieth Ortega","A.j. & cía. s.a.. transportadores
                    ","Cartagena
                                            ","Transporte terrestre de carga
                                            ","gerencia@ajtransportadores.com - cartagena@ajtrans"," www.ajtransportadores.com.co  
                           ","tr 45 21a-03 l 5 p 1 barrio el bosque  
              ","6745177  
    ","6745176  
    "
"Julieth Ortega","Julieth Ortega","A.j.s. distribuciones
                             ","Bogotá
                                            ","Grapas
                                            ","jsdistribuciones@telecom.com.co  
               ",,"Cr 22 64-19 Of 104  
                                 ","2116436  
    ",
"Julieth Ortega","Julieth Ortega","A.s.c electrónica s.a.
                             ","Pereira
                                            ","Materiales eléctricos
                                            ","servicioalcliente@magonelectronica.com  
        "," www.magomelectronica.com  
                               ","Cr 9 21-25  
                                        C","3350018  
    ",
"Julieth Ortega","Julieth Ortega","A1 ltda. - américa
                                ","Bogotá
                                            ","Calculadoras, Mantenimiento de fax, Máquinas y equipos de oficina
                                            ","a1ltda2004@yahoo.com  
                          "," www.a1ltda.com  
                                        
","Cr 13 64-67 L 117-118  
                              ","6260554  
    ","6061117  
    "
"Julieth Ortega","Julieth Ortega","Aa regalos publicitarios el escaparate ltda.
      ","Bogotá
                                            ","Artículos para publicidad
                                            ","elescaparate2@regaloselescaparate.com - elescapara"," www.regaloselescaparate.com  
                            ","Cr 11 82-20  
                                        ","5310766  
    ","6350466  
    "
"Julieth Ortega","Julieth Ortega","Aaa llaves neiman
                               ","Cali
                                            ","Candados
                                            ","llaves_neiman@terra.com.co  
                    ",,"Cr 15 12-82  
                                        ","6828058  
    ","5582421  
    "
"Julieth Ortega","Julieth Ortega","Aaab abastecemos jordán
                                ","Bucaramanga
                                            ","Soportes para televisores y videocintas
                                            ","juanjordan_77@hotmail.com  
                     "," www.soportesjordan.com  
                                 ","Cl 41 20-40  
                                        ","3157806560  
 ","6426848  
    "
"Julieth Ortega","Julieth Ortega","Aab ventilar
                                        ","Envigado
                                            ","Campanas extractoras, Aire acondicionado - instalación, reparación y mantenimiento
                                            ","araber@une.net.co  
                             ",,"Tr 32C Sur 31BA-39  
                                 ","3342210  
    ","3348871  
    "
"Julieth Ortega","Julieth Ortega","Aacer s.a.
                                          ","Medellín
                                            ","Vidrios
                                            ","aacersa@hotmail.com  
                           ",,"Cl 39 Sur 43-65 envigado  
                           ","3324136  
    ","3318300  
    "
"Julieth Ortega","Julieth Ortega","Aacer s.a.
                                          ","Medellín
                                            ","Espejos
                                            ","aacer@une.net.co  
                              ",,"Cl 39 Sur 43-65 Envigado  
                           ","3318300  
    ","2765641  
    "
"Julieth Ortega","Julieth Ortega","Aas decoración
                                    ","Bogotá
                                            ","Acabados arquitectónicos
                                            ","aasdecoracion@yahoo.com  
                       ",,"Cr 69A 65-28  
                                       ","3112248  
    ","5438013  
    "
"Julieth Ortega","Julieth Ortega","Ab canales y bajantes
                             ","Bogotá
                                            ","Campanas extractoras
                                            ","abcanalesybajantes@directoriovirtual.com  
      ",,"Cr 15 14-02  
                                        ","3114803788  
 ","3411760  
    "
"Julieth Ortega","Julieth Ortega","Ab carnets
                                        ","Bogotá
                                            ","Carnés, Laminación
                                            ","abcarnets@gmail.com  
                           ",,"Cr 12 71-32 Of 203  
                                 ","3125771  
    ","3129462  
    "
"Julieth Ortega","Julieth Ortega","Aba cerrajería
                                      ","Medellín
                                            ","Puertas, Puertas de seguridad, Puertas electrónicas
                                            ","a-abacerrajeria@hotmail.com  
                   ",,"Cr 87 85C-69 Barrio Cristóbal La América  
           ","4928927  
    ","2537511  
    "
"Julieth Ortega","Julieth Ortega","Abacentro acacias calentadores
                    ","Bogotá
                                            ","Calentadores
                                            ","acaciascalentadores@hotmail.com  
               ",,"Cr 29 79-15  
                                        ","6303688  
    ","6303679  
    "
"Julieth Ortega","Julieth Ortega","Abacol system
                                     ","Bogotá
                                            ","Mantenimiento de equipos de cómputo y periféricos
                                            ","abacolsystem@hotmail.com  
                      ",,"Dg 5D 44-14  
                                        ","2611511  
    ","2617764  
    "
"Julieth Ortega","Julieth Ortega","Abacol tejas y drywall s.a.s.
                     ","Bogotá
                                            ","Drywall
                                            ","comercial@abacol.co  
                           "," www.abacol.co  
                                        
","Cr 25 15-35  
                                        ","4071111  
    ",
"Julieth Ortega","Julieth Ortega","Abacrialum
                                        ","Bogotá
                                            ","Marquesinas
                                            ","sigritsol@hotmail.com  
                         "," www.paginasamarillas.com/abacrialum.htm  
                ","Cl 154A 96-55  
                                      ","6818613  
    ",
"Julieth Ortega","Julieth Ortega","Abacus cad ltda.
                                  ","Bogotá
                                            ","Capacitación de software
                                            ","abacuscadltda@gmail.com  
                       ",,"Av Cr 24 40-08 Parkway  
                             ","7586852  
    ",
"Julieth Ortega","Julieth Ortega","Abad faciolince s.a.
                                ","Medellín
                                            ","Inmobiliarias
                                            ","abadfaciolince@abadfaciolince.com  
             ",,"Cr 33 7A-60  
                                        ","2687788  
    ",
"Julieth Ortega","Julieth Ortega","Abafax
                                            ","Medellín
                                            ","Mantenimiento de equipos de telefonía, Mantenimiento de fax, Mantenimiento de máquinas y equipos de oficina
                                            ","abafax@hotmail.com  
                            ",,"Cr 52 53-59 Of 307  
                                 ","2310446  
    ",
"Julieth Ortega","Julieth Ortega","Abal abastecedora acrílicos alfa ltda.
            ","Bogotá
                                            ","Tejas
                                            ","acrilicosalfa@hotmail.com  
                     "," www.acrilicoalfa.com  
                                   ","Av Quito 63F-89  
                                    ","2229595  
    ","2229200  
    "
"Julieth Ortega","Julieth Ortega","Abandera accesorios
                               ","Bogotá
                                            ","Copiadoras, Máquinas y equipos de oficina
                                            ","abactoner@hotmail.com  
                         ",,"Cr 7 22-31 L 127 Centro  
                            ","4345053  
    ",
"Julieth Ortega","Julieth Ortega","Abanderados acabados acrílicos induplast
          ","Bogotá
                                            ","Pinturas
                                            ","arturotinjaca@hotmail.com  
                     ",,"Cl 78 61-34  
                                        ","2503816  
    ",
"Julieth Ortega","Julieth Ortega","Abanna ltda.
                                      ","Bogotá
                                            ","Máquinas y equipos de oficina
                                            ","abanna.bogota@cable.net.co  
                    "," www.abannaltda.com  
                                     ","Cr 9 67A-19 Of 201-203 Barrio Quinta Camacho  
       ","2356385  
    ",
"Julieth Ortega","Julieth Ortega","Abarcamos seguridad total
                         ","Bogotá
                                            ","Puertas de seguridad, Cajas fuertes
                                            ","maribel.gutierrez@legis.com.co  
                ",,"Cr 20 70-35  
                                        ","2174116  
    ","2494369  
    "
"Julieth Ortega","Julieth Ortega","Abarco almacén vidrios cristal
                    ","Bogotá
                                            ","Divisiones para baño
                                            ","vidriokr15@hotmail.com  
                        ",,"Cr 15 95-15  
                                        ","2577059  
    ","6218371  
    "
"Julieth Ortega","Julieth Ortega","Abastec ltda.
                                     ","Bogotá
                                            ","Muebles para oficina, Alfombras y tapetes, Cubrealfombras, Mantenimiento de muebles de oficina, Persianas
                                            ","divel53@hotmail.com  
                           ",,"Cr 50 119-26 Barrio La Alhambra  
                    ","5338002  
    ",
"Julieth Ortega","Julieth Ortega","Abastecedor de vidrios ceballos
                   ","Bogotá
                                            ","Divisiones para baño, Puertas de seguridad
                                            ","vidriosceballos@yahoo.es  
                      ",,"Cr 69A 71A-12  
                                      ","6305783  
    ",
"Julieth Ortega","Julieth Ortega","Abastecedor fabriplásticos
                        ","Bogotá
                                            ","Divisiones para baño
                                            ","fabriplasticos@hotmail.com  
                    ",,"Cr 110B 136A-83  
                                    ","6876312  
    ",
"Julieth Ortega","Julieth Ortega","Abastecedora de acabados
                          ","Bogotá
                                            ","Dispensadores de jabón
                                            ","abcasaba@yahoo.es  
                             ",,"Cl 21A Sur 0-42 Este  
                               ","3675348  
    ",
"Julieth Ortega","Julieth Ortega","Abastecedora de servicios
                           ","Medellín
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","servicios_plus@hotmail.com  
                    ",,"Cl 62 51D-63  
                                       ","5710978  
    ",
"Julieth Ortega","Julieth Ortega","Abastecedora s.o.s. industrial ferretero ltda.
      ","Medellín
                                            ","Ferreterías
                                            ","s.o.s.ferretero@une.net.co  
                    ",,"Cr 65 27-40  
                                        ","2656828  
    ",
"Julieth Ortega","Julieth Ortega","Abastecer a todo nivel
                            ","Bogotá
                                            ","Puertas
                                            ","josesantos@007mundo.com  
                       ",,"Cr 19 69A-06  
                                       ","4822542  
    ",
"Julieth Ortega","Julieth Ortega","Abastos y desagües hecmar
                           ","Medellín
                                            ","Plomeros
                                            ","hecmarmantenimiento@hotmail.com  
               ",,"Cl 58 45D-106  
                                      ","5129476  
    ","5277015  
    "
"Julieth Ortega","Julieth Ortega","Abaxa metalmaxel ltda.
                            ","Bogotá
                                            ","Cajas fuertes
                                            ","maxel@etb.net.co  
                              "," www.cajasmaxel.com  
                                     ","Cl 73 69-24  
                                        ","4907878  
    ","6307895  
    "
"Julieth Ortega","Julieth Ortega","Abb ltda.
                                          ","Pereira
                                            ","Contadores eléctricos
                                            ","transformadores@co.abb.com  
                    "," www.abb.com.co  
                                        
","Cl 16 15-124 La Popa Dosquebradas  
                  ","3136500  
    ",
"Julieth Ortega","Julieth Ortega","Abc acoelec ltda.
                                 ","Bogotá
                                            ","Electricistas
                                            ","acoelec@yahoo.es  
                              ",,"Cr 13 64-16 Of 238  
                                 ","2358943  
    ","6061523  
    "
"Julieth Ortega","Julieth Ortega","Abc almaplásticos s de hecho
                         ","Manizales
                                            ","Artículos para aseo y cafetería, Bolsas de papel
                                            ","nelsongalvezb@hotmail.com  
                     ",,"Cr 19 18-43 L 9  
                                    ","3108256044  
 ","8832077  
    "
"Julieth Ortega","Julieth Ortega","Abc audiovisuales
                                   ","Medellín
                                            ","Alquiler de equipos para oficina, Alquiler de equipos audiovisuales, Máquinas y equipos de oficina
                                            ","abcaudiovisuales@miune.net  
                    ",,"Cr 89 47DD-21  
                                      ","2644024  
    ",
"Julieth Ortega","Julieth Ortega","Abc avisos barco
                                  ","Bogotá
                                            ","Avisos luminosos
                                            ","albar75@hotmail.com  
                           ",,"Cl 64 8-18  
                                        C","2118960  
    ","2118057  
    "
"Julieth Ortega","Julieth Ortega","Abc confecciones ropa fuerte ltda.
                ","Bogotá
                                            ","Calzado, Overoles, Ropa de trabajo, Seguridad industrial
                                            ","gerencia@confeccionesropafuerteltda.com  
       "," www.confeccionesropafuerteltda.com  
                     ","Cr 13 17-95  
                                        ","2431728  
    ","2431774  
    "
"Julieth Ortega","Julieth Ortega","Abc controles ltda.
                               ","Bogotá
                                            ","Cajas registradoras
                                            ","abccontroles@hotmail.com  
                      ",,"Cl 57C 50-56 Bloque D-17 Of 104 Pablo VI Etapa 1  
   ","2210299  
    ","2211146  
    "
"Julieth Ortega","Julieth Ortega","Abc de las cocinas
                                ","Bogotá
                                            ","Carpintería de madera
                                            ","abcdelascocinas@hotmail.com  
                   ",,"Cl 22 Sur 29-08 Int 105  
                            ","7200789  
    ","2039751  
    "
"Julieth Ortega","Julieth Ortega","Abc de los ascensores
                             ","Bogotá
                                            ","Ascensores
                                            ","ventas@abcdelosascensores.com  
                 "," www.abcdelosacensores.com  
                              ","Cr 46 26-46 Sur Barrio Los Sauces  
                  ","2024999  
    ","3105696799  
 "
"Julieth Ortega","Julieth Ortega","Abc de los muebles","Bogotá
                                            ","Muebles metálicos, Muebles para oficina, Archivadores, Estanterías, Lockers, Mantenimiento de muebles de oficina, Planotecas, Pupitres
                                            ","ventasabcmuebles@hotmail.com  
                  "," www.abcdelosmuebles.com  
                                ","Cr 27 12-39 Barrio Ricaurte  
                        ","2016486  
    ","2084141  
    "
"Julieth Ortega","Julieth Ortega","Abc decoración torres y jiménez & cía. ltda.
      ","Bogotá
                                            ","Alfombras y tapetes
                                            ","abcdecoracionltda@gmail.com  
                   "," www.paginasamarillas.com/abcdecoracion.htm  
             ","Cl 57 16-45  
                                        ","2352013  
    ","2351884  
    "
"Julieth Ortega","Julieth Ortega","Abc decoraciones
                                       ","Bucaramanga
                                            ","Persianas
                                            ","abcdecora@hotmail.com  
                         ",,"Av La Rosita 21-40  
                                 ","6429066  
    ","6305188  
    "
"Julieth Ortega","Julieth Ortega","Abc decoraciones
                                ","Cali
                                            ","Persianas
                                            ","abcdecoracionescali@hotmail.com  
               ",,"Cl 27 6n-44  
                                        ","3172125902  
 ","6806061  
    "
"Julieth Ortega","Julieth Ortega","Abc decorambientes pasto
                         ","Pasto
                                            ","Divisiones para oficina, Muebles de madera, Alfombras y tapetes
                                            ","gerencia@abcdecorambientes.com.co  
             "," www.abcdecorambientes.com.co  
                           ","Cr 25 20 - 65 L 105  
                                ","7213350  
    ","7335335  
    "
"Julieth Ortega","Julieth Ortega","Abc del cuero
                                     ","Cúcuta
                                            ","Calzado
                                            ","abccuero@hotmail.com  
                          ",,"Av 9 7-78  
                                        Co","5710386  
    ","5719535  
    "
"Julieth Ortega","Julieth Ortega","Abc del vitral s.a.
                               ","Bogotá
                                            ","Decoración
                                            ","abc@abcdelvitral.com  
                          "," www.abcdelvitral.com  
                                   ","Tr 28 24-24  
                                        ","3440101  
    ",
