Empresa,Ciudad,Informacion,Email,Sitio,Direccion,Telefono,Telefono2
Julieth Ortega,Julieth Ortega,        ,JO,"A steckerl hierros y aceros s.a.
                        ","Barranquilla
                                            ","Medidores de agua y otros líquidos
                                            ","barranquilla@alfredosteckerl.com  
              "
Julieth Ortega,Julieth Ortega,     ,JO,"A su servicio rat tray
                               ","Manizales
                                            ","Artículos para aseo y cafetería
                                            ","rat-trayfumigaciones@hotmail.com  
              "
Julieth Ortega,Julieth Ortega,  ,JO,"A y a  fadipartes empresa e.u.
                    ","Bogotá
                                            ","Medidores de agua y otros líquidos
                                            ","fadipartes@etb.net.co  
                         "
Julieth Ortega,Julieth Ortega,    ,JO,"A y b modulares s.a.
                                ","Sabaneta
                                            ","Cielo rasos
                                            ","secretaria@ayb.com.co  
                         "
Julieth Ortega,Julieth Ortega,  ,JO,"A y h consultoría ltda.
                           ","Bogotá
                                            ","Software administrativo, contable y financiero
                                            ","informacion@ayhconsultoria.com  
                "
Julieth Ortega,Julieth Ortega,  ,JO,"A y r universal ltda.
                             ","Bogotá
                                            ","Equipos contra incendio
                                            ","info@ayruniversalltda.com  
                     "
Julieth Ortega,Julieth Ortega,    ,JO,"A&a asociados ltda.
                                 ","Medellín
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","ayaasociadosltda@gmail.com  
                    "
Julieth Ortega,Julieth Ortega,    ,JO,"A&c cortinas y decoracion y cía. ltda.
              ","Medellín
                                            ","Decoración, Alfombras y tapetes
                                            ","ayccortinas@une.net.co  
                        "
Julieth Ortega,Julieth Ortega,or,JO,"A&co - auditoría, consultoría, outsourcing y asesor","Bogotá
                                            ","Asesorías y consultorías contables
                                            ","info@ayco-sas.com  
                             "
Julieth Ortega,Julieth Ortega,     ,JO,"A&ges consultoría s.a.
                               ","Cartagena
                                            ","Asesorías y consultorías en gestión empresarial
                                            ","also312@hotmail.com  
                           "
Julieth Ortega,Julieth Ortega,"",JO,"A&m aluminios
                                   ","Buga
                                            ","Aluminio arquitectónico
                                            ","aymaluminios@gmail.com  
                        "
Julieth Ortega,Julieth Ortega,  ,JO,"A&m logistics ltda.
                               ","Bogotá
                                            ","Transporte aéreo de carga
                                            ","info@aymlogistics.net  
                         "
Julieth Ortega,Julieth Ortega,    ,JO,"A'hora s.a.
                                         ","Medellín
                                            ","Empleados temporales
                                            ","serviciostemporales@a-hora.com  
                "
Julieth Ortega,Julieth Ortega,"",JO,"A-sahertex ltda.
                                ","Cali
                                            ","Uniformes
                                            ","sahertexltda@hotmail.com  
                      "
Julieth Ortega,Julieth Ortega,"",JO,"A-telco comunicaciones
                          ","Cali
                                            ","Telecomunicaciones
                                            ","ventas@telco.com.co  
                           "
Julieth Ortega,Julieth Ortega,       ,JO,"A-z distribuidora papelera ltda.
                       ","Bucaramanga
                                            ","Artículos y suministros de oficina
                                            ","azpapeleria@hotmail.com  
                       "
Julieth Ortega,Julieth Ortega,"",JO,"A. escritorios y escritorios álvarez
            ","Cali
                                            ","Muebles para oficina
                                            ","escritorios@uniweb.net.co  
                     "
Julieth Ortega,Julieth Ortega,  ,JO,"A. gyptec s.a. - hanetec s.a.
                     ","Bogotá
                                            ","Cielo rasos, Drywall
                                            ","mercadeo@gyptec.com  
                           "
Julieth Ortega,Julieth Ortega,  ,JO,"A. hanetec s.a. - gyptec s.a.
                     ","Bogotá
                                            ","Cielo rasos
                                            ","mercadeo@gyptec.com  
                           "
Julieth Ortega,Julieth Ortega,  ,JO,"A. panelrock colombia s.a.
                        ","Bogotá
                                            ","Cielo rasos, Drywall
                                            ","info@panelrockcolombia.com  
                    "
Julieth Ortega,Julieth Ortega,  ,JO,"A. texsa de colombia s.a.
                         ","Bogotá
                                            ","Impermeabilización, Impermeabilizantes, Materiales para la construcción, Pinturas
                                            ","servicioalcliente@texsa.com.co  
                "
Julieth Ortega,Julieth Ortega,     ,JO,"A.a. sara jaramillo bernal
                           ","Manizales
                                            ","Ropa de trabajo
                                            ","sarajaramillob20@hotmail.com  
                  "
Julieth Ortega,Julieth Ortega,     ,JO,"A.a.a. convidrios de seguridad
                       ","Cartagena
                                            ","Divisiones para baño, Fachadas
                                            ","convidrios2007@hotmail.com  
                    "
Julieth Ortega,Julieth Ortega,  ,JO,"A.b. industrias metálicas e.u.
                    ","Bogotá
                                            ","Carpintería metálica
                                            ","indumeteu@yahoo.es  
                            "
Julieth Ortega,Julieth Ortega,    ,JO,"A.d.h. papeles adhesivos s.a.
                       ","Medellín
                                            ","Papeles
                                            ","info@adh.com.co  
                               "
Julieth Ortega,Julieth Ortega,"",JO,"A.f. refrigeración s.a.s
                        ","Cali
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","administracion@afrefrigeracion.com.co  
         "
Julieth Ortega,Julieth Ortega,     ,JO,"A.j. & cía. s.a.. transportadores
                    ","Cartagena
                                            ","Transporte terrestre de carga
                                            ",gerencia@ajtransportadores.com - cartagena@ajtrans
Julieth Ortega,Julieth Ortega,  ,JO,"A.j.s. distribuciones
                             ","Bogotá
                                            ","Grapas
                                            ","jsdistribuciones@telecom.com.co  
               "
Julieth Ortega,Julieth Ortega,   ,JO,"A.s.c electrónica s.a.
                             ","Pereira
                                            ","Materiales eléctricos
                                            ","servicioalcliente@magonelectronica.com  
        "
Julieth Ortega,Julieth Ortega,  ,JO,"A1 ltda. - américa
                                ","Bogotá
                                            ","Calculadoras, Mantenimiento de fax, Máquinas y equipos de oficina
                                            ","a1ltda2004@yahoo.com  
                          "
Julieth Ortega,Julieth Ortega,  ,JO,"Aa regalos publicitarios el escaparate ltda.
      ","Bogotá
                                            ","Artículos para publicidad
                                            ",elescaparate2@regaloselescaparate.com - elescapara
Julieth Ortega,Julieth Ortega,"",JO,"Aaa llaves neiman
                               ","Cali
                                            ","Candados
                                            ","llaves_neiman@terra.com.co  
                    "
Julieth Ortega,Julieth Ortega,       ,JO,"Aaab abastecemos jordán
                                ","Bucaramanga
                                            ","Soportes para televisores y videocintas
                                            ","juanjordan_77@hotmail.com  
                     "
Julieth Ortega,Julieth Ortega,    ,JO,"Aab ventilar
                                        ","Envigado
                                            ","Campanas extractoras, Aire acondicionado - instalación, reparación y mantenimiento
                                            ","araber@une.net.co  
                             "
Julieth Ortega,Julieth Ortega,    ,JO,"Aacer s.a.
                                          ","Medellín
                                            ","Vidrios
                                            ","aacersa@hotmail.com  
                           "
Julieth Ortega,Julieth Ortega,    ,JO,"Aacer s.a.
                                          ","Medellín
                                            ","Espejos
                                            ","aacer@une.net.co  
                              "
Julieth Ortega,Julieth Ortega,  ,JO,"Aas decoración
                                    ","Bogotá
                                            ","Acabados arquitectónicos
                                            ","aasdecoracion@yahoo.com  
                       "
Julieth Ortega,Julieth Ortega,  ,JO,"Ab canales y bajantes
                             ","Bogotá
                                            ","Campanas extractoras
                                            ","abcanalesybajantes@directoriovirtual.com  
      "
Julieth Ortega,Julieth Ortega,  ,JO,"Ab carnets
                                        ","Bogotá
                                            ","Carnés, Laminación
                                            ","abcarnets@gmail.com  
                           "
Julieth Ortega,Julieth Ortega,    ,JO,"Aba cerrajería
                                      ","Medellín
                                            ","Puertas, Puertas de seguridad, Puertas electrónicas
                                            ","a-abacerrajeria@hotmail.com  
                   "
Julieth Ortega,Julieth Ortega,  ,JO,"Abacentro acacias calentadores
                    ","Bogotá
                                            ","Calentadores
                                            ","acaciascalentadores@hotmail.com  
               "
Julieth Ortega,Julieth Ortega,  ,JO,"Abacol system
                                     ","Bogotá
                                            ","Mantenimiento de equipos de cómputo y periféricos
                                            ","abacolsystem@hotmail.com  
                      "
Julieth Ortega,Julieth Ortega,  ,JO,"Abacol tejas y drywall s.a.s.
                     ","Bogotá
                                            ","Drywall
                                            ","comercial@abacol.co  
                           "
Julieth Ortega,Julieth Ortega,  ,JO,"Abacrialum
                                        ","Bogotá
                                            ","Marquesinas
                                            ","sigritsol@hotmail.com  
                         "
Julieth Ortega,Julieth Ortega,  ,JO,"Abacus cad ltda.
                                  ","Bogotá
                                            ","Capacitación de software
                                            ","abacuscadltda@gmail.com  
                       "
Julieth Ortega,Julieth Ortega,    ,JO,"Abad faciolince s.a.
                                ","Medellín
                                            ","Inmobiliarias
                                            ","abadfaciolince@abadfaciolince.com  
             "
Julieth Ortega,Julieth Ortega,  ,JO,"Abafax
                                            ","Medellín
                                            ","Mantenimiento de equipos de telefonía, Mantenimiento de fax, Mantenimiento de máquinas y equipos de oficina
                                            ","abafax@hotmail.com  
                            "
Julieth Ortega,Julieth Ortega,  ,JO,"Abal abastecedora acrílicos alfa ltda.
            ","Bogotá
                                            ","Tejas
                                            ","acrilicosalfa@hotmail.com  
                     "
Julieth Ortega,Julieth Ortega,  ,JO,"Abandera accesorios
                               ","Bogotá
                                            ","Copiadoras, Máquinas y equipos de oficina
                                            ","abactoner@hotmail.com  
                         "
Julieth Ortega,Julieth Ortega,  ,JO,"Abanderados acabados acrílicos induplast
          ","Bogotá
                                            ","Pinturas
                                            ","arturotinjaca@hotmail.com  
                     "
Julieth Ortega,Julieth Ortega,  ,JO,"Abanna ltda.
                                      ","Bogotá
                                            ","Máquinas y equipos de oficina
                                            ","abanna.bogota@cable.net.co  
                    "
Julieth Ortega,Julieth Ortega,  ,JO,"Abarcamos seguridad total
                         ","Bogotá
                                            ","Puertas de seguridad, Cajas fuertes
                                            ","maribel.gutierrez@legis.com.co  
                "
Julieth Ortega,Julieth Ortega,  ,JO,"Abarco almacén vidrios cristal
                    ","Bogotá
                                            ","Divisiones para baño
                                            ","vidriokr15@hotmail.com  
                        "
Julieth Ortega,Julieth Ortega,  ,JO,"Abastec ltda.
                                     ","Bogotá
                                            ","Muebles para oficina, Alfombras y tapetes, Cubrealfombras, Mantenimiento de muebles de oficina, Persianas
                                            ","divel53@hotmail.com  
                           "
Julieth Ortega,Julieth Ortega,  ,JO,"Abastecedor de vidrios ceballos
                   ","Bogotá
                                            ","Divisiones para baño, Puertas de seguridad
                                            ","vidriosceballos@yahoo.es  
                      "
Julieth Ortega,Julieth Ortega,  ,JO,"Abastecedor fabriplásticos
                        ","Bogotá
                                            ","Divisiones para baño
                                            ","fabriplasticos@hotmail.com  
                    "
Julieth Ortega,Julieth Ortega,  ,JO,"Abastecedora de acabados
                          ","Bogotá
                                            ","Dispensadores de jabón
                                            ","abcasaba@yahoo.es  
                             "
Julieth Ortega,Julieth Ortega,    ,JO,"Abastecedora de servicios
                           ","Medellín
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","servicios_plus@hotmail.com  
                    "
Julieth Ortega,Julieth Ortega,    ,JO,"Abastecedora s.o.s. industrial ferretero ltda.
      ","Medellín
                                            ","Ferreterías
                                            ","s.o.s.ferretero@une.net.co  
                    "
Julieth Ortega,Julieth Ortega,  ,JO,"Abastecer a todo nivel
                            ","Bogotá
                                            ","Puertas
                                            ","josesantos@007mundo.com  
                       "
Julieth Ortega,Julieth Ortega,    ,JO,"Abastos y desagües hecmar
                           ","Medellín
                                            ","Plomeros
                                            ","hecmarmantenimiento@hotmail.com  
               "
Julieth Ortega,Julieth Ortega,  ,JO,"Abaxa metalmaxel ltda.
                            ","Bogotá
                                            ","Cajas fuertes
                                            ","maxel@etb.net.co  
                              "
Julieth Ortega,Julieth Ortega,   ,JO,"Abb ltda.
                                          ","Pereira
                                            ","Contadores eléctricos
                                            ","transformadores@co.abb.com  
                    "
Julieth Ortega,Julieth Ortega,  ,JO,"Abc acoelec ltda.
                                 ","Bogotá
                                            ","Electricistas
                                            ","acoelec@yahoo.es  
                              "
Julieth Ortega,Julieth Ortega,     ,JO,"Abc almaplásticos s de hecho
                         ","Manizales
                                            ","Artículos para aseo y cafetería, Bolsas de papel
                                            ","nelsongalvezb@hotmail.com  
                     "
Julieth Ortega,Julieth Ortega,    ,JO,"Abc audiovisuales
                                   ","Medellín
                                            ","Alquiler de equipos para oficina, Alquiler de equipos audiovisuales, Máquinas y equipos de oficina
                                            ","abcaudiovisuales@miune.net  
                    "
Julieth Ortega,Julieth Ortega,  ,JO,"Abc avisos barco
                                  ","Bogotá
                                            ","Avisos luminosos
                                            ","albar75@hotmail.com  
                           "
Julieth Ortega,Julieth Ortega,  ,JO,"Abc confecciones ropa fuerte ltda.
                ","Bogotá
                                            ","Calzado, Overoles, Ropa de trabajo, Seguridad industrial
                                            ","gerencia@confeccionesropafuerteltda.com  
       "
Julieth Ortega,Julieth Ortega,  ,JO,"Abc controles ltda.
                               ","Bogotá
                                            ","Cajas registradoras
                                            ","abccontroles@hotmail.com  
                      "
Julieth Ortega,Julieth Ortega,  ,JO,"Abc de las cocinas
                                ","Bogotá
                                            ","Carpintería de madera
                                            ","abcdelascocinas@hotmail.com  
                   "
Julieth Ortega,Julieth Ortega,  ,JO,"Abc de los ascensores
                             ","Bogotá
                                            ","Ascensores
                                            ","ventas@abcdelosascensores.com  
                 "
Julieth Ortega,Julieth Ortega,,JO,Abc de los muebles,"Bogotá
                                            ","Muebles metálicos, Muebles para oficina, Archivadores, Estanterías, Lockers, Mantenimiento de muebles de oficina, Planotecas, Pupitres
                                            ","ventasabcmuebles@hotmail.com  
                  "
Julieth Ortega,Julieth Ortega,  ,JO,"Abc decoración torres y jiménez & cía. ltda.
      ","Bogotá
                                            ","Alfombras y tapetes
                                            ","abcdecoracionltda@gmail.com  
                   "
Julieth Ortega,Julieth Ortega,       ,JO,"Abc decoraciones
                                       ","Bucaramanga
                                            ","Persianas
                                            ","abcdecora@hotmail.com  
                         "
Julieth Ortega,Julieth Ortega,"",JO,"Abc decoraciones
                                ","Cali
                                            ","Persianas
                                            ","abcdecoracionescali@hotmail.com  
               "
Julieth Ortega,Julieth Ortega, ,JO,"Abc decorambientes pasto
                         ","Pasto
                                            ","Divisiones para oficina, Muebles de madera, Alfombras y tapetes
                                            ","gerencia@abcdecorambientes.com.co  
             "
Julieth Ortega,Julieth Ortega,  ,JO,"Abc del cuero
                                     ","Cúcuta
                                            ","Calzado
                                            ","abccuero@hotmail.com  
                          "
Julieth Ortega,Julieth Ortega,  ,JO,"Abc del vitral s.a.
                               ","Bogotá
                                            ","Decoración
                                            ","abc@abcdelvitral.com  
                          "
Julieth Ortega,Julieth Ortega,  ,JO,"Abc equipos
                                       ","Bogotá
                                            ","Alquiler de equipos audiovisuales
                                            ","jdosingenieria@walla.com  
                      "
Julieth Ortega,Julieth Ortega,  ,JO,"Abc fábrica de persianas
                          ","Bogotá
                                            ","Alfombras y tapetes
                                            ","persianasrave@hotmail.com  
                     "
Julieth Ortega,Julieth Ortega,"",JO,"Abc industrial ltda.
                            ","Cali
                                            ","Impermeabilización
                                            ","abcindustrial@abcindustrial.com  
               "
Julieth Ortega,Julieth Ortega,  ,JO,"Abc laboratorios s.a.
                             ","Bogotá
                                            ","Botiquines
                                            ","abc@abclaboratorios.com  
                       "
Julieth Ortega,Julieth Ortega,    ,JO,"Abc metálicas integrales
                            ","Medellín
                                            ","Puertas
                                            ","abcintegrales@hotmail.com  
                     "
Julieth Ortega,Julieth Ortega,  ,JO,"Abc multiespacios ltda.
                           ","Bogotá
                                            ","Divisiones para oficina, Alquiler de equipos audiovisuales
                                            ","abcmultiespacios@hotmail.com  
                  "
Julieth Ortega,Julieth Ortega,  ,JO,"Abc plantas y equipos s.a.
                        ","Bogotá
                                            ","Plantas telefónicas
                                            ","linavelez@abcplantas.com  
                      "
Julieth Ortega,Julieth Ortega,     ,JO,"Abc publicidad integral s.a.
                         ","Manizales
                                            ","Decoración, Impresión digital, Parasoles, Seguridad industrial
                                            ","abc@abcpublicidadsa.com  
                       "
Julieth Ortega,Julieth Ortega,"",JO,"Abc señálame ltda.
                              ","Cali
                                            ","Avisos plásticos, Seguridad industrial, Señalización, Artículos para publicidad, Artículos de plástico, Carnés
                                            ","ventas@senalame.com  
                           "
Julieth Ortega,Julieth Ortega,  ,JO,"Abc storage s.a.
                                  ","Bogotá
                                            ","Almacenamiento y administración de inventarios
                                            ","cpena@abcstoragesa.com  
                        "
Julieth Ortega,Julieth Ortega,  ,JO,"Abc tejas fibracril de colombia ltda.
             ","Bogotá
                                            ","Materiales para la construcción
                                            ","milferro@yahoo.com  
                            "
Julieth Ortega,Julieth Ortega,    ,JO,"Abdala & quintero constructora ltda.
                ","Montería
                                            ","Cielo rasos, Drywall, Impermeabilización, Materiales para la construcción
                                            ","abdalayquintero@gmail.com  
                     "
Julieth Ortega,Julieth Ortega,"",JO,"Abe cargo express ltda.
                         ","Cali
                                            ","Mensajería
                                            ","servicliente@abecargo.com  
                     "
Julieth Ortega,Julieth Ortega,"",JO,"Aben luz encuadernación
                         ","Cali
                                            ","Accesorios para encuadernación
                                            ","luzmavaro@hotmail.com  
                         "
Julieth Ortega,Julieth Ortega,  ,JO,"Abg consorcio inmobiliario s.a.
                   ","Bogotá
                                            ","Inmobiliarias
                                            ","gerencia@abg.com.co  
                           "
Julieth Ortega,Julieth Ortega,       ,JO,"Abg fumigaciones
                                       ","Bucaramanga
                                            ","Aseo
                                            ","abgfum@hotmail.com  
                            "
Julieth Ortega,Julieth Ortega,  ,JO,"Abm manillas de identificación
                    ","Bogotá
                                            ","Artículos para publicidad
                                            ","ciclonsa@yahoo.es - ventas@abmpublicidad.com  
  "
Julieth Ortega,Julieth Ortega,zó,JO,Abogados asesorías y negocios sanabria rincón garzó,"Bogotá
                                            ","Seguridad y auditoría de sistemas
                                            ","carlosrincon@abogadossrg.com  
                  "
Julieth Ortega,Julieth Ortega,  ,JO,"Abomin s.a.s.
                                     ","Bogotá
                                            ","Artículos de plástico
                                            ","abomin@abomin.com  
                             "
Julieth Ortega,Julieth Ortega,  ,JO,"Abondano ortiz y cía. ltda. manuel j.
             ","Bogotá
                                            ","Inmobiliarias
                                            ","mjabondanog@hotmail.com  
                       "
Julieth Ortega,Julieth Ortega,  ,JO,"Abrasivos del sur ltda.
                           ","Bogotá
                                            ","Seguridad industrial
                                            ","ricarjuanes@hotmail.com  
                       "
Julieth Ortega,Julieth Ortega,  ,JO,"Abre ltda.
                                        ","Bogotá
                                            ","Control de acceso, Software para aplicaciones específicas, Carnés, Impresoras, Sistemas de identificación, Sistemas y equipos de control y seguridad, Software
                                            ","abre@abreltd.com  
                              "
Julieth Ortega,Julieth Ortega,  ,JO,"Abyv ltda.
                                        ","Bogotá
                                            ","Marquesinas, Carteleras
                                            ","cliente@aluminiosabyv.com  
                     "
Julieth Ortega,Julieth Ortega,".
",JO,"Ac & cc ingenieros electricistas y mecánicos ltda.
","Bogotá
                                            ","Aire acondicionado - instalación, reparación y mantenimiento
                                            ","info@ac-cc.com  
                                "
Julieth Ortega,Julieth Ortega,  ,JO,"Ac alarmas bipricomp ltda.
                        ","Bogotá
                                            ","Alarmas
                                            ","alarvigia@gmail.com  
                           "
Julieth Ortega,Julieth Ortega,  ,JO,"Ac controles y seguridad w.h.l.
                   ","Bogotá
                                            ","Control de acceso, Relojes de control de personal, Contadoras de billetes y monedas, Destructora de documentos, Identificación biométrica, Máquinas y equipos de oficina, Ordenadores de fila, Protectores de cheques
                                            ",mercadeo@whlcontroles.com - soportetecnico@whlcont
Julieth Ortega,Julieth Ortega,  ,JO,"Acabados & decoraciones 1a
                        ","Bogotá
                                            ","Acabados arquitectónicos
                                            ","maryruth11@hotmail.com  
                        "
Julieth Ortega,Julieth Ortega,  ,JO,"Acabados acústicos térmicos
                       ","Bogotá
                                            ","Impermeabilización, Impermeabilizantes
                                            ","acabadosat@etb.net.co  
                         "
Julieth Ortega,Julieth Ortega,  ,JO,"Acabados aluminio. castillo y cía.
                ","Bogotá
                                            ","Divisiones para baño, Fachadas, Marquesinas
                                            ","gsepu226@hotmail.com  
                          "
Julieth Ortega,Julieth Ortega,  ,JO,"Acabados aranjuez
                                 ","Bogotá
                                            ","Cielo rasos, Chimeneas, Decoración
                                            ","aranjuezcf@yahoo.es  
                           "
Julieth Ortega,Julieth Ortega,  ,JO,"Acabados arquiacabados ltda.
                      ","Bogotá
                                            ","Divisiones para baño
                                            ","ventas@arquiacabados.tk  
                       "
Julieth Ortega,Julieth Ortega,  ,JO,"Acabados arquitectonicos grancolombiana
           ","Bogotá
                                            ","Ventanas
                                            ","compras@grancol.com  
                           "
Julieth Ortega,Julieth Ortega,  ,JO,"Acabados barnicolor
                               ","Bogotá
                                            ","Fachadas
                                            ","barnicolorlimitada@yahoo.es  
                   "
Julieth Ortega,Julieth Ortega,  ,JO,"Acabados d.r. divisiones modulares
                ","Bogotá
                                            ","Muebles para oficina
                                            ",acabadosdr@hotmail.com - ventas@acabadosdr.com - v
Julieth Ortega,Julieth Ortega,    ,JO,"Acabados de fachadas decoraza marmoplast
            ","Medellín
                                            ","Fachadas
                                            ","marmoplast3505@yahoo.com  
                      "
Julieth Ortega,Julieth Ortega,   ,JO,"Acabados decorativos
                               ","Armenia
                                            ","Cielo rasos, Decoración, Divisiones para baño, Alfombras y tapetes
                                            ","adecorativos@hotmail.com  
                      "
Julieth Ortega,Julieth Ortega,"",JO,"Acabados decorativos alexander calderón
         ","Cali
                                            ","Persianas
                                            ","acadeco_ac@yahoo.com  
                          "
Julieth Ortega,Julieth Ortega,   ,JO,"Acabados decorativos hierro & madera
               ","Pereira
                                            ","Persianas
                                            ","hierroymaderapisos@hotmail.com  
                "
Julieth Ortega,Julieth Ortega,  ,JO,"Acabados fachadas & revestimientos
                ","Bogotá
                                            ","Fachadas, Pinturas
                                            ","exceavila@hotmail.com  
                         "
Julieth Ortega,Julieth Ortega,  ,JO,"Acabados imperial
                                 ","Bogotá
                                            ","Ceniceros de piso
                                            ","luantoniopulido@hotmail.com  
                   "
Julieth Ortega,Julieth Ortega,"",JO,"Acabados y construcciones ricardo restrepo
      ","Cali
                                            ","Acabados arquitectónicos
                                            ","ricardorestrepoconstrucciones@hotmail.com  
     "
Julieth Ortega,Julieth Ortega,  ,JO,"Acabados y diseños
                                ","Bogotá
                                            ","Muebles para oficina
                                            ","miguel_pardo66@hotmail.com  
                    "
